,player_num,player_name,team
0,1,Asenjo,Villarreal
1,2,M Gaspar,Villarreal
2,3,Albiol,Villarreal
3,4,P Torres,Villarreal
4,16,X Quintill,Villarreal
5,11,Chukwueze,Villarreal
6,19,Z Anguissa,Villarreal
7,10,Iborra,Villarreal
8,8,S Cazorla,Villarreal
9,7,G Moreno,Villarreal
10,17,Alcácer,Villarreal
11,9,Bacca,Villarreal
12,15,Morlanes,Villarreal
13,21,B Soriano,Villarreal
14,23,M Gmez,Villarreal
15,24,J Ontiveros,Villarreal
16,13,Cillessen,Valencia
17,25,Florenzi,Valencia
18,5,G Paulista,Valencia
19,33,Guillamón,Valencia
20,14,Gayá,Valencia
21,20,F rres,Valencia
22,18,Wass,Valencia
23,10,Parejo,Valencia
24,8,Soler,Valencia
25,19,Rodrigo,Valencia
26,22,Gómez,Valencia
27,3,J Costa,Valencia
28,6,Kondogbia,Valencia
29,7,G edes,Valencia
30,9,Gameiro,Valencia
31,16,Lee KI,Valencia
