,player_num,player_name,team
0,1,U Simn,Athletic Club
1,21,Capa,Athletic Club
2,3,Núñez,Athletic Club
3,4,I rtnez,Athletic Club
4,17,Yuri,Athletic Club
5,14,D Garcia,Athletic Club
6,8,U Lpez,Athletic Club
7,10,Muniain,Athletic Club
8,22,R rca,Athletic Club
9,32,J Morcillo,Athletic Club
10,9,I lliams,Athletic Club
11,15,Lekue,Athletic Club
12,16,O Sancet,Athletic Club
13,19,Kodro,Athletic Club
14,20,Villalibre,Athletic Club
15,26,I cente,Athletic Club
16,25,Ledesma,Cadiz
17,15,Akapo,Cadiz
18,3,Fali,Cadiz
19,16,Cala,Cadiz
20,22,Espino,Cadiz
21,20,Iza,Cadiz
22,17,Augusto,Cadiz
23,2,Jønsson,Cadiz
24,24,Malbašić,Cadiz
25,8,Álex,Cadiz
26,9,Lozano,Cadiz
27,6,Jos Mari,Cadiz
28,5,J Garrido,Cadiz
29,7,Salvi,Cadiz
30,14,I ejo,Cadiz
31,18,Negredo,Cadiz
