,player_num,player_name,team
0,1,U Simn,Athletic Club
1,18,D Marcos,Athletic Club
2,5,Yeray,Athletic Club
3,4,I rtnez,Athletic Club
4,17,Yuri,Athletic Club
5,12,A Berenguer,Athletic Club
6,6,M Vesga,Athletic Club
7,8,U Lpez,Athletic Club
8,10,Muniain,Athletic Club
9,22,R rca,Athletic Club
10,9,I lliams,Athletic Club
11,27,U Vencedor,Athletic Club
12,14,D Garcia,Athletic Club
13,2,J Morcillo,Athletic Club
14,7,I Gomez,Athletic Club
15,20,Villalibre,Athletic Club
16,1,Dmitrović,Eibar
17,22,Pozo,Eibar
18,4,P Oliveira,Eibar
19,23,Arbilla,Eibar
20,11,R Soares,Eibar
21,6,Alvarez,Eibar
22,8,Diop,Eibar
23,25,B Gil,Eibar
24,19,Aleix,Eibar
25,24,Rodrigues,Eibar
26,17,K Garca,Eibar
27,21,P Len,Eibar
28,7,Q Gonzlez,Eibar
29,14,Inui,Eibar
