,player_num,player_name,team
0,1,U Simn,Athletic Club
1,18,D Marcos,Athletic Club
2,3,Núñez,Athletic Club
3,4,I rtnez,Athletic Club
4,17,Yuri,Athletic Club
5,27,U Vencedor,Athletic Club
6,6,M Vesga,Athletic Club
7,9,I lliams,Athletic Club
8,10,Muniain,Athletic Club
9,12,A Berenguer,Athletic Club
10,22,R rca,Athletic Club
11,15,Lekue,Athletic Club
12,14,D Garcia,Athletic Club
13,16,O Sancet,Athletic Club
14,20,Villalibre,Athletic Club
15,13,E Badia,Elche CF
16,19,Barragán,Elche CF
17,5,G Verd,Elche CF
18,24,Josema,Elche CF
19,3,S Mio,Elche CF
20,4,Marcone,Elche CF
21,11,T Morente,Elche CF
22,14,R Guti,Elche CF
23,16,F Chaves,Elche CF
24,10,P Milla,Elche CF
25,21,Carrillo,Elche CF
26,8,V drguez,Elche CF
27,7,Nino,Elche CF
28,17,Josán,Elche CF
29,22,Rigoni,Elche CF
30,9,Boyé,Elche CF
