,player_num,player_name,team
0,1,U Simn,Athletic Club
1,18,D Marcos,Athletic Club
2,3,Núñez,Athletic Club
3,4,I rtnez,Athletic Club
4,24,Balenziaga,Athletic Club
5,12,A Berenguer,Athletic Club
6,6,M Vesga,Athletic Club
7,27,U Vencedor,Athletic Club
8,2,J Morcillo,Athletic Club
9,16,O Sancet,Athletic Club
10,20,Villalibre,Athletic Club
11,7,I Gomez,Athletic Club
12,8,U Lpez,Athletic Club
13,9,I lliams,Athletic Club
14,22,R rca,Athletic Club
15,1,S Herrera,Osasuna
16,15,J malho,Osasuna
17,23,Aridane,Osasuna
18,5,D Garca,Osasuna
19,3,J Cruz,Osasuna
20,24,L Torr,Osasuna
21,10,R Torres,Osasuna
22,27,Moncayola,Osasuna
23,8,Brašanac,Osasuna
24,11,K Barja,Osasuna
25,17,Budimir,Osasuna
26,9,Ávila,Osasuna
27,14,R rca,Osasuna
28,2,N Vidal,Osasuna
29,19,E Gallego,Osasuna
30,7,Jony,Osasuna
