,player_num,player_name,team
0,1,U Simn,Athletic Club
1,18,D Marcos,Athletic Club
2,5,Yeray,Athletic Club
3,4,I rtnez,Athletic Club
4,24,Balenziaga,Athletic Club
5,12,A Berenguer,Athletic Club
6,14,D Garcia,Athletic Club
7,27,U Vencedor,Athletic Club
8,2,J Morcillo,Athletic Club
9,9,I lliams,Athletic Club
10,16,O Sancet,Athletic Club
11,7,I Gomez,Athletic Club
12,6,M Vesga,Athletic Club
13,22,R rca,Athletic Club
14,8,U Lpez,Athletic Club
15,20,Villalibre,Athletic Club
16,1,Courtois,Real Madrid
17,19,l riozola,Real Madrid
18,3,d lito,Real Madrid
19,6,Nacho,Real Madrid
20,35,Gutiérrez,Real Madrid
21,15,Valverde,Real Madrid
22,14,Casemiro,Real Madrid
23,10,Modrić,Real Madrid
24,25,Rodrygo,Real Madrid
25,9,Benzema,Real Madrid
26,20,Vincius Jr,Real Madrid
27,11,M Asensio,Real Madrid
28,7,Hazard,Real Madrid
