,player_num,player_name,team
0,1,U Simn,Athletic Club
1,18,D Marcos,Athletic Club
2,3,Núñez,Athletic Club
3,4,I rtnez,Athletic Club
4,24,Balenziaga,Athletic Club
5,12,A Berenguer,Athletic Club
6,8,U Lpez,Athletic Club
7,14,D Garcia,Athletic Club
8,2,J Morcillo,Athletic Club
9,16,O Sancet,Athletic Club
10,20,Villalibre,Athletic Club
11,6,M Vesga,Athletic Club
12,30,Williams,Athletic Club
13,7,I Gomez,Athletic Club
14,9,I lliams,Athletic Club
15,22,R rca,Athletic Club
16,1,J Masip,Real Valladolid
17,18,Janko,Real Valladolid
18,24,Joaquin,Real Valladolid
19,15,E Yamiq,Real Valladolid
20,22,Nacho,Real Valladolid
21,10,O Plano,Real Valladolid
22,20,Fede,Real Valladolid
23,14,R caraz,Real Valladolid
24,12,Orellana,Real Valladolid
25,9,Weissman,Real Valladolid
26,16,M Andr,Real Valladolid
27,7,S Guardiola,Real Valladolid
28,17,R Mesa,Real Valladolid
29,4,Kiko,Real Valladolid
30,11,Hervías,Real Valladolid
31,21,Míchel,Real Valladolid
