,player_num,player_name,team
0,1,U Simn,Athletic Club
1,21,Capa,Athletic Club
2,5,Yeray,Athletic Club
3,4,I rtnez,Athletic Club
4,17,Yuri,Athletic Club
5,28,O Zarraga,Athletic Club
6,14,D Garcia,Athletic Club
7,12,A Berenguer,Athletic Club
8,22,R rca,Athletic Club
9,2,J Morcillo,Athletic Club
10,9,I lliams,Athletic Club
11,20,Villalibre,Athletic Club
12,6,M Vesga,Athletic Club
13,8,U Lpez,Athletic Club
14,16,O Sancet,Athletic Club
15,10,Muniain,Athletic Club
16,13,Bounou,Sevilla
17,16,J Navas,Sevilla
18,12,Koundé,Sevilla
19,20,D Carlos,Sevilla
20,19,Acuña,Sevilla
21,8,J Jordn,Sevilla
22,25,Fernando,Sevilla
23,10,Rakitić,Sevilla
24,5,Ocampos,Sevilla
25,9,d Jong,Sevilla
26,15,En-Nesyri,Sevilla
27,11,Munir,Sevilla
28,6,Gudelj,Sevilla
29,21,O Torres,Sevilla
30,24,C Fernndez,Sevilla
31,22,Vázquez,Sevilla
