,player_num,player_name,team
0,13,Oblak,Atletico Madrid
1,23,Trippier,Atletico Madrid
2,15,Savić,Atletico Madrid
3,18,Felipe,Atletico Madrid
4,22,Hermoso,Atletico Madrid
5,14,Llorente,Atletico Madrid
6,6,Koke,Atletico Madrid
7,11,Lemar,Atletico Madrid
8,7,Joo Flix,Atletico Madrid
9,9,Suárez,Atletico Madrid
10,21,Carrasco,Atletico Madrid
11,8,Sal guez,Atletico Madrid
12,4,Kondogbia,Atletico Madrid
13,5,Torreira,Atletico Madrid
14,12,R Lodi,Atletico Madrid
15,10,Correa,Atletico Madrid
16,1,U Simn,Athletic Club
17,18,D Marcos,Athletic Club
18,3,Núñez,Athletic Club
19,5,Yeray,Athletic Club
20,17,Yuri,Athletic Club
21,12,A Berenguer,Athletic Club
22,8,U Lpez,Athletic Club
23,6,M Vesga,Athletic Club
24,10,Muniain,Athletic Club
25,9,I lliams,Athletic Club
26,22,R rca,Athletic Club
27,21,Capa,Athletic Club
28,14,D Garcia,Athletic Club
29,27,U Vencedor,Athletic Club
30,2,J Morcillo,Athletic Club
31,20,Villalibre,Athletic Club
