,player_num,player_name,team
0,13,Oblak,Atletico Madrid
1,23,Trippier,Atletico Madrid
2,15,Savić,Atletico Madrid
3,2,Gimenez,Atletico Madrid
4,22,Hermoso,Atletico Madrid
5,14,Llorente,Atletico Madrid
6,6,Koke,Atletico Madrid
7,8,Sal guez,Atletico Madrid
8,21,Carrasco,Atletico Madrid
9,10,Correa,Atletico Madrid
10,7,Joo Flix,Atletico Madrid
11,4,Kondogbia,Atletico Madrid
12,11,Lemar,Atletico Madrid
13,18,Felipe,Atletico Madrid
14,19,D Costa,Atletico Madrid
15,1,t Stegen,Barcelona
16,20,S Roberto,Barcelona
17,3,Piqué,Barcelona
18,15,Lenglet,Barcelona
19,18,J Alba,Barcelona
20,8,Pjanić,Barcelona
21,21,d Jong,Barcelona
22,11,Dembèlé,Barcelona
23,10,Messi,Barcelona
24,16,Pedri,Barcelona
25,7,Griezmann,Barcelona
26,2,Dest,Barcelona
27,9,Braithwaite,Barcelona
28,14,P Coutinho,Barcelona
29,17,Trincão,Barcelona
