,player_num,player_name,team
0,13,Oblak,Atletico Madrid
1,23,Trippier,Atletico Madrid
2,15,Savić,Atletico Madrid
3,2,Gimenez,Atletico Madrid
4,22,Hermoso,Atletico Madrid
5,14,Llorente,Atletico Madrid
6,16,Herrera,Atletico Madrid
7,6,Koke,Atletico Madrid
8,8,Sal guez,Atletico Madrid
9,7,Joo Flix,Atletico Madrid
10,9,Suárez,Atletico Madrid
11,4,Kondogbia,Atletico Madrid
12,5,Torreira,Atletico Madrid
13,10,Correa,Atletico Madrid
14,11,Lemar,Atletico Madrid
15,1,Ledesma,Cadiz
16,15,Akapo,Cadiz
17,3,Fali,Cadiz
18,16,Cala,Cadiz
19,22,Espino,Cadiz
20,7,Salvi,Cadiz
21,2,Jønsson,Cadiz
22,17,Augusto,Cadiz
23,8,Álex,Cadiz
24,9,Lozano,Cadiz
25,18,Negredo,Cadiz
26,5,J Garrido,Cadiz
27,10,A Perea,Cadiz
28,11,Pombo,Cadiz
29,19,P Alcal,Cadiz
30,25,J Izquierdo,Cadiz
