,player_num,player_name,team
0,13,Oblak,Atletico Madrid
1,15,Savić,Atletico Madrid
2,2,Gimenez,Atletico Madrid
3,18,Felipe,Atletico Madrid
4,4,Kondogbia,Atletico Madrid
5,14,Llorente,Atletico Madrid
6,8,Sal guez,Atletico Madrid
7,6,Koke,Atletico Madrid
8,12,R Lodi,Atletico Madrid
9,10,Correa,Atletico Madrid
10,9,Suárez,Atletico Madrid
11,5,Torreira,Atletico Madrid
12,13,Ruben,Celta Vigo
13,2,H Mallo,Celta Vigo
14,4,Araujo,Celta Vigo
15,24,Murillo,Celta Vigo
16,19,A Martn,Celta Vigo
17,14,Tapia,Celta Vigo
18,23,B Mndez,Celta Vigo
19,6,Suárez,Celta Vigo
20,9,Nolito,Celta Vigo
21,10,I Aspas,Celta Vigo
22,22,S Mina,Celta Vigo
23,21,Solari,Celta Vigo
24,12,Ferreyra,Celta Vigo
