,player_num,player_name,team
0,13,Oblak,Atletico Madrid
1,15,Savić,Atletico Madrid
2,2,Gimenez,Atletico Madrid
3,22,Hermoso,Atletico Madrid
4,23,Trippier,Atletico Madrid
5,14,Llorente,Atletico Madrid
6,6,Koke,Atletico Madrid
7,11,Lemar,Atletico Madrid
8,21,Carrasco,Atletico Madrid
9,10,Correa,Atletico Madrid
10,9,Suárez,Atletico Madrid
11,8,Sal guez,Atletico Madrid
12,16,Herrera,Atletico Madrid
13,1,Pacheco,Deportivo Alaves
14,23,Ximo,Deportivo Alaves
15,5,Laguardia,Deportivo Alaves
16,22,Lejeune,Deportivo Alaves
17,3,R arte,Deportivo Alaves
18,6,Battaglia,Deportivo Alaves
19,37,Pellistri,Deportivo Alaves
20,20,P Pons,Deportivo Alaves
21,24,Jota,Deportivo Alaves
22,16,Edgar,Deportivo Alaves
23,9,Joselu,Deportivo Alaves
24,2,Tachi,Deportivo Alaves
25,11,L Rioja,Deportivo Alaves
26,29,B Sainz,Deportivo Alaves
27,30,Mahmoud,Deportivo Alaves
