,player_num,player_name,team
0,13,Oblak,Atletico Madrid
1,23,Trippier,Atletico Madrid
2,15,Savić,Atletico Madrid
3,18,Felipe,Atletico Madrid
4,22,Hermoso,Atletico Madrid
5,10,Correa,Atletico Madrid
6,5,Torreira,Atletico Madrid
7,6,Koke,Atletico Madrid
8,11,Lemar,Atletico Madrid
9,14,Llorente,Atletico Madrid
10,9,Suárez,Atletico Madrid
11,7,Joo Flix,Atletico Madrid
12,12,R Lodi,Atletico Madrid
13,16,Herrera,Atletico Madrid
14,20,Vitolo,Atletico Madrid
15,21,Carrasco,Atletico Madrid
16,25,Bravo,Real Betis
17,2,Montoya,Real Betis
18,23,Mandi,Real Betis
19,5,Bartra,Real Betis
20,15,l reno,Real Betis
21,21,Rodríguez,Real Betis
22,14,W Carvalho,Real Betis
23,8,Fekir,Real Betis
24,10,Canales,Real Betis
25,11,Tello,Real Betis
26,19,Sanabria,Real Betis
27,6,V Ruiz,Real Betis
28,9,B Iglesias,Real Betis
29,16,L Morn,Real Betis
30,17,Joaquín,Real Betis
