,player_num,player_name,team
0,13,Oblak,Atletico Madrid
1,23,Trippier,Atletico Madrid
2,15,Savić,Atletico Madrid
3,18,Felipe,Atletico Madrid
4,22,Hermoso,Atletico Madrid
5,6,Koke,Atletico Madrid
6,10,Correa,Atletico Madrid
7,14,Llorente,Atletico Madrid
8,11,Lemar,Atletico Madrid
9,21,Carrasco,Atletico Madrid
10,9,Suárez,Atletico Madrid
11,8,Sal guez,Atletico Madrid
12,7,Joo Flix,Atletico Madrid
13,4,Kondogbia,Atletico Madrid
14,1,Courtois,Real Madrid
15,17,L Vzquez,Real Madrid
16,5,Varane,Real Madrid
17,6,Nacho,Real Madrid
18,23,Mendy,Real Madrid
19,10,Modrić,Real Madrid
20,14,Casemiro,Real Madrid
21,8,Kroos,Real Madrid
22,25,Rodrygo,Real Madrid
23,9,Benzema,Real Madrid
24,11,M Asensio,Real Madrid
25,15,Valverde,Real Madrid
26,20,Vincius Jr,Real Madrid
