,player_num,player_name,team
0,13,Oblak,Atletico Madrid
1,23,Trippier,Atletico Madrid
2,15,Savić,Atletico Madrid
3,18,Felipe,Atletico Madrid
4,22,Hermoso,Atletico Madrid
5,14,Llorente,Atletico Madrid
6,6,Koke,Atletico Madrid
7,8,Sal guez,Atletico Madrid
8,10,Correa,Atletico Madrid
9,9,Suárez,Atletico Madrid
10,21,Carrasco,Atletico Madrid
11,4,Kondogbia,Atletico Madrid
12,12,R Lodi,Atletico Madrid
13,7,Joo Flix,Atletico Madrid
14,1,Remiro,Real Sociedad
15,2,Zaldùa,Real Sociedad
16,6,Elustondo,Real Sociedad
17,15,Sagnan,Real Sociedad
18,20,Monreal,Real Sociedad
19,14,Guridi,Real Sociedad
20,36,Zubimendi,Real Sociedad
21,7,Portu,Real Sociedad
22,10,Oyarzabal,Real Sociedad
23,22,A Barrenetxea,Real Sociedad
24,19,Isak,Real Sociedad
25,26,J Pacheco,Real Sociedad
26,5,I Zubelda,Real Sociedad
27,28,R Lpez,Real Sociedad
28,17,Merquelanz,Real Sociedad
29,25,J Bautista,Real Sociedad
