,player_num,player_name,team
0,1,t Stegen,Barcelona
1,2,Dest,Barcelona
2,3,Piqué,Barcelona
3,15,Lenglet,Barcelona
4,18,J Alba,Barcelona
5,21,d Jong,Barcelona
6,5,Busquets,Barcelona
7,16,Pedri,Barcelona
8,11,Dembèlé,Barcelona
9,10,Messi,Barcelona
10,7,Griezmann,Barcelona
11,28,Mingueza,Barcelona
12,8,Pjanić,Barcelona
13,17,Trincão,Barcelona
14,9,Braithwaite,Barcelona
15,12,Puig,Barcelona
16,1,Ledesma,Cadiz
17,20,Iza,Cadiz
18,3,Fali,Cadiz
19,4,M Mauro,Cadiz
20,22,Espino,Cadiz
21,5,J Garrido,Cadiz
22,7,Salvi,Cadiz
23,21,Sobrino,Cadiz
24,10,A Perea,Cadiz
25,25,J Izquierdo,Cadiz
26,18,Negredo,Cadiz
27,6,Jos Mari,Cadiz
28,2,Jønsson,Cadiz
29,8,Álex,Cadiz
30,14,I ejo,Cadiz
31,9,Lozano,Cadiz
