,player_num,player_name,team
0,1,t Stegen,Barcelona
1,2,Dest,Barcelona
2,4,Araújo,Barcelona
3,15,Lenglet,Barcelona
4,18,J Alba,Barcelona
5,5,Busquets,Barcelona
6,21,d Jong,Barcelona
7,7,Griezmann,Barcelona
8,14,P Coutinho,Barcelona
9,9,Braithwaite,Barcelona
10,10,Messi,Barcelona
11,17,Trincão,Barcelona
12,16,Pedri,Barcelona
13,23,Umtiti,Barcelona
14,13,A Fernndez,Levante
15,23,Coke,Levante
16,15,Postigo,Levante
17,14,Rben Vezo,Levante
18,19,Clerc,Levante
19,18,D Frutos,Levante
20,17,Vukčević,Levante
21,12,Malsa,Levante
22,22,Melero,Levante
23,21,D Gmez,Levante
24,9,Roger,Levante
25,20,Miramón,Levante
26,5,Radoja,Levante
27,7,S Len,Levante
28,2,Son,Levante
29,11,Morales,Levante
