,player_num,player_name,team
0,1,t Stegen,Barcelona
1,28,Mingueza,Barcelona
2,21,d Jong,Barcelona
3,15,Lenglet,Barcelona
4,2,Dest,Barcelona
5,5,Busquets,Barcelona
6,16,Pedri,Barcelona
7,18,J Alba,Barcelona
8,10,Messi,Barcelona
9,7,Griezmann,Barcelona
10,11,Dembèlé,Barcelona
11,4,Araújo,Barcelona
12,27,I Moriba,Barcelona
13,9,Braithwaite,Barcelona
14,12,Puig,Barcelona
15,17,Trincão,Barcelona
16,1,J Masip,Real Valladolid
17,6,Bruno,Real Valladolid
18,5,J Snchez,Real Valladolid
19,25,Olaza,Real Valladolid
20,18,Janko,Real Valladolid
21,17,R Mesa,Real Valladolid
22,14,R caraz,Real Valladolid
23,10,O Plano,Real Valladolid
24,22,Nacho,Real Valladolid
25,7,S Guardiola,Real Valladolid
26,3,Kodro,Real Valladolid
27,11,Hervías,Real Valladolid
28,23,W Rubio,Real Valladolid
29,16,M Andr,Real Valladolid
