,player_num,player_name,team
0,1,Ledesma,Cadiz
1,20,Iza,Cadiz
2,19,P Alcal,Cadiz
3,16,Cala,Cadiz
4,22,Espino,Cadiz
5,7,Salvi,Cadiz
6,5,J Garrido,Cadiz
7,3,Fali,Cadiz
8,10,A Perea,Cadiz
9,18,Negredo,Cadiz
10,9,Lozano,Cadiz
11,37,l rtn,Cadiz
12,21,Sobrino,Cadiz
13,12,Šaponjić,Cadiz
14,14,I ejo,Cadiz
15,25,J Izquierdo,Cadiz
16,1,U Simn,Athletic Club
17,21,Capa,Athletic Club
18,3,Núñez,Athletic Club
19,5,Yeray,Athletic Club
20,17,Yuri,Athletic Club
21,12,A Berenguer,Athletic Club
22,6,M Vesga,Athletic Club
23,8,U Lpez,Athletic Club
24,10,Muniain,Athletic Club
25,22,R rca,Athletic Club
26,9,I lliams,Athletic Club
27,15,Lekue,Athletic Club
28,27,U Vencedor,Athletic Club
29,7,I Gomez,Athletic Club
30,2,J Morcillo,Athletic Club
31,20,Villalibre,Athletic Club
