,player_num,player_name,team
0,1,Ledesma,Cadiz
1,20,Iza,Cadiz
2,19,P Alcal,Cadiz
3,16,Cala,Cadiz
4,22,Espino,Cadiz
5,8,Álex,Cadiz
6,2,Jønsson,Cadiz
7,3,Fali,Cadiz
8,10,A Perea,Cadiz
9,9,Lozano,Cadiz
10,18,Negredo,Cadiz
11,5,J Garrido,Cadiz
12,32,Adekanye,Cadiz
13,24,Malbašić,Cadiz
14,21,l mnez,Cadiz
15,1,Pacheco,Deportivo Alaves
16,21,Martín,Deportivo Alaves
17,2,Tachi,Deportivo Alaves
18,22,Lejeune,Deportivo Alaves
19,3,R arte,Deportivo Alaves
20,24,Jota,Deportivo Alaves
21,6,Battaglia,Deportivo Alaves
22,8,Pina,Deportivo Alaves
23,11,L Rioja,Deportivo Alaves
24,9,Joselu,Deportivo Alaves
25,14,Deyverson,Deportivo Alaves
26,20,P Pons,Deportivo Alaves
27,39,Keller,Deportivo Alaves
28,29,B Sainz,Deportivo Alaves
29,19,M Garca,Deportivo Alaves
30,16,Edgar,Deportivo Alaves
