,player_num,player_name,team
0,13,D Gil,Cadiz
1,20,Iza,Cadiz
2,4,M Mauro,Cadiz
3,16,Cala,Cadiz
4,22,Espino,Cadiz
5,23,S Gonzlez,Cadiz
6,6,Jos Mari,Cadiz
7,7,Salvi,Cadiz
8,12,Bodiger,Cadiz
9,11,Pombo,Cadiz
10,18,Negredo,Cadiz
11,2,Jønsson,Cadiz
12,8,Álex,Cadiz
13,9,Lozano,Cadiz
14,14,I ejo,Cadiz
15,24,Malbašić,Cadiz
16,1,S Herrera,Osasuna
17,2,N Vidal,Osasuna
18,23,Aridane,Osasuna
19,5,D Garca,Osasuna
20,3,J Cruz,Osasuna
21,10,R Torres,Osasuna
22,27,Moncayola,Osasuna
23,6,Oier,Osasuna
24,21,Pérez,Osasuna
25,14,R rca,Osasuna
26,20,Adrián,Osasuna
27,11,K Barja,Osasuna
28,17,Cardona,Osasuna
29,24,L Torr,Osasuna
