,player_num,player_name,team
0,1,Ledesma,Cadiz
1,20,Iza,Cadiz
2,3,Fali,Cadiz
3,4,M Mauro,Cadiz
4,22,Espino,Cadiz
5,7,Salvi,Cadiz
6,2,Jønsson,Cadiz
7,6,Jos Mari,Cadiz
8,25,J Izquierdo,Cadiz
9,18,Negredo,Cadiz
10,21,Sobrino,Cadiz
11,14,I ejo,Cadiz
12,15,Akapo,Cadiz
13,16,Cala,Cadiz
14,9,Lozano,Cadiz
15,12,Šaponjić,Cadiz
16,1,Courtois,Real Madrid
17,3,d lito,Real Madrid
18,5,Varane,Real Madrid
19,6,Nacho,Real Madrid
20,19,l riozola,Real Madrid
21,31,Blanco,Real Madrid
22,14,Casemiro,Real Madrid
23,12,Marcelo,Real Madrid
24,25,Rodrygo,Real Madrid
25,9,Benzema,Real Madrid
26,20,Vincius Jr,Real Madrid
27,2,Carvajal,Real Madrid
28,35,Gutiérrez,Real Madrid
29,22,Isco,Real Madrid
30,24,Mariano,Real Madrid
31,11,M Asensio,Real Madrid
