,player_num,player_name,team
0,1,Ledesma,Cadiz
1,20,Iza,Cadiz
2,3,Fali,Cadiz
3,4,M Mauro,Cadiz
4,22,Espino,Cadiz
5,7,Salvi,Cadiz
6,2,Jønsson,Cadiz
7,5,J Garrido,Cadiz
8,25,J Izquierdo,Cadiz
9,24,Malbašić,Cadiz
10,8,Álex,Cadiz
11,15,Akapo,Cadiz
12,21,l mnez,Cadiz
13,10,A Perea,Cadiz
14,12,Bodiger,Cadiz
15,14,I ejo,Cadiz
16,1,Remiro,Real Sociedad
17,2,Zaldùa,Real Sociedad
18,6,Elustondo,Real Sociedad
19,5,I Zubelda,Real Sociedad
20,20,Monreal,Real Sociedad
21,16,A Guevara,Real Sociedad
22,8,Merino,Real Sociedad
23,11,Januzaj,Real Sociedad
24,21,Silva,Real Sociedad
25,10,Oyarzabal,Real Sociedad
26,19,Isak,Real Sociedad
27,14,Guridi,Real Sociedad
28,36,Zubimendi,Real Sociedad
29,9,W Jos,Real Sociedad
30,22,A Barrenetxea,Real Sociedad
31,7,Portu,Real Sociedad
