,player_num,player_name,team
0,1,Ledesma,Cadiz
1,20,Iza,Cadiz
2,4,M Mauro,Cadiz
3,16,Cala,Cadiz
4,22,Espino,Cadiz
5,14,I ejo,Cadiz
6,2,Jønsson,Cadiz
7,3,Fali,Cadiz
8,10,A Perea,Cadiz
9,18,Negredo,Cadiz
10,9,Lozano,Cadiz
11,8,Álex,Cadiz
12,12,Bodiger,Cadiz
13,25,J Izquierdo,Cadiz
14,21,l mnez,Cadiz
15,24,Malbašić,Cadiz
16,1,J Masip,Real Valladolid
17,11,Hervías,Real Valladolid
18,6,Bruno,Real Valladolid
19,15,E Yamiq,Real Valladolid
20,3,García,Real Valladolid
21,12,Orellana,Real Valladolid
22,17,R Mesa,Real Valladolid
23,14,R caraz,Real Valladolid
24,10,O Plano,Real Valladolid
25,9,Weissman,Real Valladolid
26,7,S Guardiola,Real Valladolid
27,8,K Prez,Real Valladolid
28,20,Fede,Real Valladolid
29,19,T Villa,Real Valladolid
30,40,Jota,Real Valladolid
