,player_num,player_name,team
0,1,A Cifuentes,Cadiz
1,20,Iza,Cadiz
2,4,M Mauro,Cadiz
3,16,Cala,Cadiz
4,22,Espino,Cadiz
5,2,Jønsson,Cadiz
6,6,Jos Mari,Cadiz
7,7,Salvi,Cadiz
8,8,Álex,Cadiz
9,11,Pombo,Cadiz
10,18,Negredo,Cadiz
11,3,Fali,Cadiz
12,12,Bodiger,Cadiz
13,17,Augusto,Cadiz
14,9,Lozano,Cadiz
15,24,Malbašić,Cadiz
16,13,Bounou,Sevilla
17,16,J Navas,Sevilla
18,3,S Gmez,Sevilla
19,20,D Carlos,Sevilla
20,19,Acuña,Sevilla
21,21,O Torres,Sevilla
22,6,Gudelj,Sevilla
23,10,Rakitić,Sevilla
24,7,Suso,Sevilla
25,15,En-Nesyri,Sevilla
26,5,Ocampos,Sevilla
27,8,J Jordn,Sevilla
28,14,s drguez,Sevilla
29,9,d Jong,Sevilla
30,11,Munir,Sevilla
31,29,B Gil,Sevilla
