,player_num,player_name,team
0,1,I llar,Celta Vigo
1,20,Kevin,Celta Vigo
2,4,Araujo,Celta Vigo
3,24,Murillo,Celta Vigo
4,19,A Martn,Celta Vigo
5,14,Tapia,Celta Vigo
6,23,B Mndez,Celta Vigo
7,6,Suárez,Celta Vigo
8,9,Nolito,Celta Vigo
9,10,I Aspas,Celta Vigo
10,22,S Mina,Celta Vigo
11,18,Aidoo,Celta Vigo
12,8,F Beltran,Celta Vigo
13,21,Solari,Celta Vigo
14,12,Ferreyra,Celta Vigo
15,1,U Simn,Athletic Club
16,15,Lekue,Athletic Club
17,3,Núñez,Athletic Club
18,5,Yeray,Athletic Club
19,24,Balenziaga,Athletic Club
20,12,A Berenguer,Athletic Club
21,8,U Lpez,Athletic Club
22,14,D Garcia,Athletic Club
23,2,J Morcillo,Athletic Club
24,22,R rca,Athletic Club
25,20,Villalibre,Athletic Club
26,27,U Vencedor,Athletic Club
27,7,I Gomez,Athletic Club
28,18,D Marcos,Athletic Club
29,9,I lliams,Athletic Club
30,10,Muniain,Athletic Club
