,player_num,player_name,team
0,13,Ruben,Celta Vigo
1,2,H Mallo,Celta Vigo
2,18,Aidoo,Celta Vigo
3,4,Araujo,Celta Vigo
4,15,Olaza,Celta Vigo
5,14,Tapia,Celta Vigo
6,23,B Mndez,Celta Vigo
7,6,Suárez,Celta Vigo
8,9,Nolito,Celta Vigo
9,10,I Aspas,Celta Vigo
10,22,S Mina,Celta Vigo
11,27,Baeza,Celta Vigo
12,5,Yokuşlu,Celta Vigo
13,38,D Len,Celta Vigo
14,29,J ntn,Celta Vigo
15,8,F Beltran,Celta Vigo
16,1,Ledesma,Cadiz
17,20,Iza,Cadiz
18,3,Fali,Cadiz
19,4,M Mauro,Cadiz
20,22,Espino,Cadiz
21,14,I ejo,Cadiz
22,8,Álex,Cadiz
23,2,Jønsson,Cadiz
24,10,A Perea,Cadiz
25,21,l mnez,Cadiz
26,18,Negredo,Cadiz
27,25,J Izquierdo,Cadiz
28,5,J Garrido,Cadiz
29,11,Pombo,Cadiz
30,9,Lozano,Cadiz
31,24,Malbašić,Cadiz
