,player_num,player_name,team
0,13,Ruben,Celta Vigo
1,2,H Mallo,Celta Vigo
2,4,Araujo,Celta Vigo
3,24,Murillo,Celta Vigo
4,15,Olaza,Celta Vigo
5,14,Tapia,Celta Vigo
6,8,F Beltran,Celta Vigo
7,6,Suárez,Celta Vigo
8,9,Nolito,Celta Vigo
9,10,I Aspas,Celta Vigo
10,23,B Mndez,Celta Vigo
11,18,Aidoo,Celta Vigo
12,5,Yokuşlu,Celta Vigo
13,27,Baeza,Celta Vigo
14,29,J ntn,Celta Vigo
15,11,Mor,Celta Vigo
16,1,Pacheco,Deportivo Alaves
17,23,Ximo,Deportivo Alaves
18,22,Lejeune,Deportivo Alaves
19,4,R Ely,Deportivo Alaves
20,3,R arte,Deportivo Alaves
21,24,Jota,Deportivo Alaves
22,6,Battaglia,Deportivo Alaves
23,8,Pina,Deportivo Alaves
24,11,L Rioja,Deportivo Alaves
25,7,Lucas,Deportivo Alaves
26,9,Joselu,Deportivo Alaves
27,2,Tachi,Deportivo Alaves
28,19,M Garca,Deportivo Alaves
29,29,B Sainz,Deportivo Alaves
30,37,Tavares,Deportivo Alaves
31,10,Guidetti,Deportivo Alaves
