,player_num,player_name,team
0,13,Ruben,Celta Vigo
1,2,H Mallo,Celta Vigo
2,4,Araujo,Celta Vigo
3,24,Murillo,Celta Vigo
4,15,Olaza,Celta Vigo
5,23,B Mndez,Celta Vigo
6,6,Suárez,Celta Vigo
7,14,Tapia,Celta Vigo
8,9,Nolito,Celta Vigo
9,10,I Aspas,Celta Vigo
10,22,S Mina,Celta Vigo
11,18,Aidoo,Celta Vigo
12,29,J ntn,Celta Vigo
13,5,Yokuşlu,Celta Vigo
14,8,F Beltran,Celta Vigo
15,27,Baeza,Celta Vigo
16,1,l rnndez,Huesca
17,19,Lopez,Huesca
18,14,Pulido,Huesca
19,18,Siovas,Huesca
20,11,J Galn,Huesca
21,17,M Rico,Huesca
22,5,P Mosquera,Huesca
23,24,B Garcia,Huesca
24,7,D Ferreiro,Huesca
25,12,Okazaki,Huesca
26,15,J Ontiveros,Huesca
27,20,Seoane,Huesca
28,21,J Carlos,Huesca
29,9,R Mir,Huesca
30,10,Gómez,Huesca
