,player_num,player_name,team
0,1,I llar,Celta Vigo
1,20,Kevin,Celta Vigo
2,18,Aidoo,Celta Vigo
3,24,Murillo,Celta Vigo
4,29,J ntn,Celta Vigo
5,23,B Mndez,Celta Vigo
6,14,Tapia,Celta Vigo
7,9,Nolito,Celta Vigo
8,6,Suárez,Celta Vigo
9,10,I Aspas,Celta Vigo
10,22,S Mina,Celta Vigo
11,4,Araujo,Celta Vigo
12,8,F Beltran,Celta Vigo
13,19,A Martn,Celta Vigo
14,12,Ferreyra,Celta Vigo
15,21,Solari,Celta Vigo
16,34,D Crdenas,Levante
17,15,Postigo,Levante
18,6,Duarte,Levante
19,14,Rben Vezo,Levante
20,18,D Frutos,Levante
21,22,Melero,Levante
22,4,Rober,Levante
23,10,Bardhi,Levante
24,19,Clerc,Levante
25,29,Cantero,Levante
26,9,Roger,Levante
27,20,Miramón,Levante
28,16,Rochina,Levante
29,7,S Len,Levante
30,25,Doukouré,Levante
31,11,Morales,Levante
