,player_num,player_name,team
0,1,I llar,Celta Vigo
1,2,H Mallo,Celta Vigo
2,4,Araujo,Celta Vigo
3,24,Murillo,Celta Vigo
4,19,A Martn,Celta Vigo
5,14,Tapia,Celta Vigo
6,23,B Mndez,Celta Vigo
7,6,Suárez,Celta Vigo
8,9,Nolito,Celta Vigo
9,10,I Aspas,Celta Vigo
10,22,S Mina,Celta Vigo
11,12,Ferreyra,Celta Vigo
12,21,Solari,Celta Vigo
13,29,J ntn,Celta Vigo
14,8,F Beltran,Celta Vigo
15,1,Courtois,Real Madrid
16,17,L Vzquez,Real Madrid
17,5,Varane,Real Madrid
18,6,Nacho,Real Madrid
19,23,Mendy,Real Madrid
20,15,Valverde,Real Madrid
21,14,Casemiro,Real Madrid
22,8,Kroos,Real Madrid
23,10,Modrić,Real Madrid
24,9,Benzema,Real Madrid
25,20,Vincius Jr,Real Madrid
26,11,M Asensio,Real Madrid
