,player_num,player_name,team
0,1,I llar,Celta Vigo
1,2,H Mallo,Celta Vigo
2,18,Aidoo,Celta Vigo
3,24,Murillo,Celta Vigo
4,15,Olaza,Celta Vigo
5,6,Suárez,Celta Vigo
6,14,Tapia,Celta Vigo
7,8,F Beltran,Celta Vigo
8,9,Nolito,Celta Vigo
9,11,Mor,Celta Vigo
10,10,I Aspas,Celta Vigo
11,4,Araujo,Celta Vigo
12,5,Yokuşlu,Celta Vigo
13,23,B Mndez,Celta Vigo
14,27,Baeza,Celta Vigo
15,31,G Veiga,Celta Vigo
16,1,Doménech,Valencia
17,18,Wass,Valencia
18,5,G Paulista,Valencia
19,12,Diakhaby,Valencia
20,14,Gayá,Valencia
21,30,Musah,Valencia
22,26,Esquerdo,Valencia
23,6,Kondogbia,Valencia
24,7,G edes,Valencia
25,20,Lee KI,Valencia
26,22,Gómez,Valencia
27,2,T Correia,Valencia
28,11,Sobrino,Valencia
29,21,M Vallejo,Valencia
30,23,Jason,Valencia
