,player_num,player_name,team
0,13,Ruben,Celta Vigo
1,2,H Mallo,Celta Vigo
2,4,Araujo,Celta Vigo
3,24,Murillo,Celta Vigo
4,15,Olaza,Celta Vigo
5,5,Yokuşlu,Celta Vigo
6,8,F Beltran,Celta Vigo
7,6,Suárez,Celta Vigo
8,27,Baeza,Celta Vigo
9,23,B Mndez,Celta Vigo
10,22,S Mina,Celta Vigo
11,39,Holsgrove,Celta Vigo
12,36,González,Celta Vigo
13,1,Asenjo,Villarreal
14,20,R Pea,Villarreal
15,3,Albiol,Villarreal
16,4,P Torres,Villarreal
17,24,Pedraza,Villarreal
18,14,Trigueros,Villarreal
19,25,Capoue,Villarreal
20,5,Parejo,Villarreal
21,7,G Moreno,Villarreal
22,34,N driguez,Villarreal
23,23,M Gmez,Villarreal
24,21,J Costa,Villarreal
25,11,Chukwueze,Villarreal
26,19,Coquelin,Villarreal
27,30,Pino,Villarreal
28,9,Bacca,Villarreal
