,player_num,player_name,team
0,1,Pacheco,Deportivo Alaves
1,23,Ximo,Deportivo Alaves
2,5,Laguardia,Deportivo Alaves
3,22,Lejeune,Deportivo Alaves
4,3,R arte,Deportivo Alaves
5,6,Battaglia,Deportivo Alaves
6,16,Edgar,Deportivo Alaves
7,8,Pina,Deportivo Alaves
8,24,Jota,Deportivo Alaves
9,11,L Rioja,Deportivo Alaves
10,14,Deyverson,Deportivo Alaves
11,21,Martín,Deportivo Alaves
12,17,Adrin Marn,Deportivo Alaves
13,19,M Garca,Deportivo Alaves
14,37,Tavares,Deportivo Alaves
15,9,Joselu,Deportivo Alaves
16,13,Neto,Barcelona
17,20,S Roberto,Barcelona
18,3,Piqué,Barcelona
19,15,Lenglet,Barcelona
20,18,J Alba,Barcelona
21,5,Busquets,Barcelona
22,21,d Jong,Barcelona
23,11,Dembèlé,Barcelona
24,10,Messi,Barcelona
25,22,Fati,Barcelona
26,7,Griezmann,Barcelona
27,16,Pedri,Barcelona
28,2,Dest,Barcelona
29,8,Pjanić,Barcelona
30,9,Braithwaite,Barcelona
31,17,Trincão,Barcelona
