,player_num,player_name,team
0,1,Pacheco,Deportivo Alaves
1,23,Ximo,Deportivo Alaves
2,5,Laguardia,Deportivo Alaves
3,22,Lejeune,Deportivo Alaves
4,3,R arte,Deportivo Alaves
5,16,Edgar,Deportivo Alaves
6,6,Battaglia,Deportivo Alaves
7,8,Pina,Deportivo Alaves
8,11,L Rioja,Deportivo Alaves
9,9,Joselu,Deportivo Alaves
10,14,Deyverson,Deportivo Alaves
11,24,Jota,Deportivo Alaves
12,19,M Garca,Deportivo Alaves
13,17,Adrin Marn,Deportivo Alaves
14,21,Martín,Deportivo Alaves
15,1,Dmitrović,Eibar
16,22,Pozo,Eibar
17,2,Burgos,Eibar
18,3,Bigas,Eibar
19,23,Arbilla,Eibar
20,6,Alvarez,Eibar
21,10,E Expsito,Eibar
22,21,P Len,Eibar
23,14,Inui,Eibar
24,25,B Gil,Eibar
25,17,K Garca,Eibar
26,7,Q Gonzlez,Eibar
27,18,Recio,Eibar
28,32,U Arieta,Eibar
29,8,Diop,Eibar
30,24,Rodrigues,Eibar
