,player_num,player_name,team
0,1,Pacheco,Deportivo Alaves
1,21,Martín,Deportivo Alaves
2,5,Laguardia,Deportivo Alaves
3,22,Lejeune,Deportivo Alaves
4,3,R arte,Deportivo Alaves
5,20,P Pons,Deportivo Alaves
6,6,Battaglia,Deportivo Alaves
7,8,Pina,Deportivo Alaves
8,11,L Rioja,Deportivo Alaves
9,7,Lucas,Deportivo Alaves
10,9,Joselu,Deportivo Alaves
11,23,Ximo,Deportivo Alaves
12,29,B Sainz,Deportivo Alaves
13,37,Pellistri,Deportivo Alaves
14,10,Guidetti,Deportivo Alaves
15,19,M Garca,Deportivo Alaves
16,13,A candell,Granada CF
17,2,Foulquier,Granada CF
18,22,D Duarte,Granada CF
19,3,Pérez,Granada CF
20,17,Quini,Granada CF
21,8,Eteki,Granada CF
22,4,Gonalons,Granada CF
23,26,Soro,Granada CF
24,7,Suárez,Granada CF
25,18,Adrin Marn,Granada CF
26,23,J Molina,Granada CF
27,6,G chez,Granada CF
28,14,F Vico,Granada CF
29,12,Quina,Granada CF
30,10,A Puertas,Granada CF
31,11,Machís,Granada CF
