,player_num,player_name,team
0,1,Pacheco,Deportivo Alaves
1,23,Ximo,Deportivo Alaves
2,5,Laguardia,Deportivo Alaves
3,22,Lejeune,Deportivo Alaves
4,3,R arte,Deportivo Alaves
5,8,Pina,Deportivo Alaves
6,6,Battaglia,Deportivo Alaves
7,20,P Pons,Deportivo Alaves
8,24,Jota,Deportivo Alaves
9,11,L Rioja,Deportivo Alaves
10,9,Joselu,Deportivo Alaves
11,16,Edgar,Deportivo Alaves
12,14,Deyverson,Deportivo Alaves
13,37,Pellistri,Deportivo Alaves
14,21,Martín,Deportivo Alaves
15,7,Lucas,Deportivo Alaves
16,34,D Crdenas,Levante
17,20,Miramón,Levante
18,15,Postigo,Levante
19,4,Rober,Levante
20,19,Clerc,Levante
21,18,D Frutos,Levante
22,12,Malsa,Levante
23,22,Melero,Levante
24,11,Morales,Levante
25,29,Cantero,Levante
26,21,D Gmez,Levante
27,14,Rben Vezo,Levante
28,25,Doukouré,Levante
29,10,Bardhi,Levante
30,6,Duarte,Levante
31,2,Son,Levante
