,player_num,player_name,team
0,1,Pacheco,Deportivo Alaves
1,23,Ximo,Deportivo Alaves
2,5,Laguardia,Deportivo Alaves
3,22,Lejeune,Deportivo Alaves
4,21,Martín,Deportivo Alaves
5,16,Edgar,Deportivo Alaves
6,19,M Garca,Deportivo Alaves
7,8,Pina,Deportivo Alaves
8,17,Córdoba,Deportivo Alaves
9,7,Lucas,Deportivo Alaves
10,9,Joselu,Deportivo Alaves
11,3,R arte,Deportivo Alaves
12,14,Deyverson,Deportivo Alaves
13,37,Pellistri,Deportivo Alaves
14,11,L Rioja,Deportivo Alaves
15,1,S Herrera,Osasuna
16,2,N Vidal,Osasuna
17,23,Aridane,Osasuna
18,5,D Garca,Osasuna
19,3,J Cruz,Osasuna
20,10,R Torres,Osasuna
21,6,Oier,Osasuna
22,24,L Torr,Osasuna
23,14,R rca,Osasuna
24,16,Calleri,Osasuna
25,17,Budimir,Osasuna
26,27,Moncayola,Osasuna
27,4,U Garca,Osasuna
28,19,E Gallego,Osasuna
29,11,K Barja,Osasuna
