,player_num,player_name,team
0,1,Pacheco,Deportivo Alaves
1,23,Ximo,Deportivo Alaves
2,5,Laguardia,Deportivo Alaves
3,22,Lejeune,Deportivo Alaves
4,3,R arte,Deportivo Alaves
5,21,Martín,Deportivo Alaves
6,6,Battaglia,Deportivo Alaves
7,8,Pina,Deportivo Alaves
8,11,L Rioja,Deportivo Alaves
9,9,Joselu,Deportivo Alaves
10,16,Edgar,Deportivo Alaves
11,29,B Sainz,Deportivo Alaves
12,20,P Pons,Deportivo Alaves
13,19,M Garca,Deportivo Alaves
14,7,Lucas,Deportivo Alaves
15,14,Deyverson,Deportivo Alaves
16,1,Courtois,Real Madrid
17,17,L Vzquez,Real Madrid
18,3,d lito,Real Madrid
19,5,Varane,Real Madrid
20,23,Mendy,Real Madrid
21,8,Kroos,Real Madrid
22,14,Casemiro,Real Madrid
23,10,Modrić,Real Madrid
24,11,M Asensio,Real Madrid
25,9,Benzema,Real Madrid
26,7,Hazard,Real Madrid
27,19,l riozola,Real Madrid
28,20,Vincius Jr,Real Madrid
29,22,Isco,Real Madrid
