,player_num,player_name,team
0,1,Pacheco,Deportivo Alaves
1,23,Ximo,Deportivo Alaves
2,5,Laguardia,Deportivo Alaves
3,22,Lejeune,Deportivo Alaves
4,3,R arte,Deportivo Alaves
5,24,Jota,Deportivo Alaves
6,6,Battaglia,Deportivo Alaves
7,8,Pina,Deportivo Alaves
8,11,L Rioja,Deportivo Alaves
9,9,Joselu,Deportivo Alaves
10,7,Lucas,Deportivo Alaves
11,16,Edgar,Deportivo Alaves
12,21,Martín,Deportivo Alaves
13,1,Remiro,Real Sociedad
14,18,A Gorosabel,Real Sociedad
15,5,I Zubelda,Real Sociedad
16,15,Sagnan,Real Sociedad
17,12,A Muoz,Real Sociedad
18,8,Merino,Real Sociedad
19,16,A Guevara,Real Sociedad
20,7,Portu,Real Sociedad
21,28,R Lpez,Real Sociedad
22,17,Merquelanz,Real Sociedad
23,19,Isak,Real Sociedad
24,2,Zaldùa,Real Sociedad
25,9,W Jos,Real Sociedad
26,22,A Barrenetxea,Real Sociedad
27,25,J Bautista,Real Sociedad
28,36,Zubimendi,Real Sociedad
