,player_num,player_name,team
0,1,Pacheco,Deportivo Alaves
1,23,Ximo,Deportivo Alaves
2,5,Laguardia,Deportivo Alaves
3,22,Lejeune,Deportivo Alaves
4,21,Martín,Deportivo Alaves
5,24,Jota,Deportivo Alaves
6,6,Battaglia,Deportivo Alaves
7,8,Pina,Deportivo Alaves
8,11,L Rioja,Deportivo Alaves
9,9,Joselu,Deportivo Alaves
10,7,Lucas,Deportivo Alaves
11,20,P Pons,Deportivo Alaves
12,37,Pellistri,Deportivo Alaves
13,16,Edgar,Deportivo Alaves
14,14,Deyverson,Deportivo Alaves
15,13,Rulli,Villarreal
16,2,M Gaspar,Villarreal
17,3,Albiol,Villarreal
18,6,F Mori,Villarreal
19,24,Pedraza,Villarreal
20,11,Chukwueze,Villarreal
21,25,Capoue,Villarreal
22,5,Parejo,Villarreal
23,14,Trigueros,Villarreal
24,7,G Moreno,Villarreal
25,17,Alcácer,Villarreal
26,20,R Pea,Villarreal
27,19,Coquelin,Villarreal
28,34,N driguez,Villarreal
29,23,M Gmez,Villarreal
30,30,Pino,Villarreal
