,player_num,player_name,team
0,13,Yoel,Eibar
1,22,Pozo,Eibar
2,4,P Oliveira,Eibar
3,3,Bigas,Eibar
4,15,J gel,Eibar
5,21,P Len,Eibar
6,8,Diop,Eibar
7,10,E Expsito,Eibar
8,25,B Gil,Eibar
9,9,Enrich,Eibar
10,17,K Garca,Eibar
11,23,Arbilla,Eibar
12,11,R Soares,Eibar
13,19,Aleix,Eibar
14,24,Rodrigues,Eibar
15,12,Muto,Eibar
16,1,l rnndez,Huesca
17,14,Pulido,Huesca
18,18,Siovas,Huesca
19,4,P Insa,Huesca
20,3,P Maffeo,Huesca
21,2,Doumbia,Huesca
22,20,Seoane,Huesca
23,11,J Galn,Huesca
24,7,D Ferreiro,Huesca
25,9,R Mir,Huesca
26,23,D Escriche,Huesca
27,17,M Rico,Huesca
28,19,Lopez,Huesca
29,10,Gómez,Huesca
30,6,S Ramirez,Huesca
