,player_num,player_name,team
0,1,Dmitrović,Eibar
1,22,Pozo,Eibar
2,4,P Oliveira,Eibar
3,23,Arbilla,Eibar
4,15,J gel,Eibar
5,8,Diop,Eibar
6,33,M Atienza,Eibar
7,21,P Len,Eibar
8,18,Recio,Eibar
9,25,B Gil,Eibar
10,17,K Garca,Eibar
11,20,Rober,Eibar
12,9,Enrich,Eibar
13,12,Muto,Eibar
14,10,E Expsito,Eibar
15,1,Remiro,Real Sociedad
16,18,A Gorosabel,Real Sociedad
17,5,I Zubelda,Real Sociedad
18,24,L Normand,Real Sociedad
19,20,Monreal,Real Sociedad
20,10,Oyarzabal,Real Sociedad
21,36,Zubimendi,Real Sociedad
22,16,A Guevara,Real Sociedad
23,22,A Barrenetxea,Real Sociedad
24,7,Portu,Real Sociedad
25,19,Isak,Real Sociedad
26,2,Zaldùa,Real Sociedad
27,14,Guridi,Real Sociedad
28,17,Merquelanz,Real Sociedad
29,11,Januzaj,Real Sociedad
30,25,J Bautista,Real Sociedad
