,player_num,player_name,team
0,1,Dmitrović,Eibar
1,22,Pozo,Eibar
2,4,P Oliveira,Eibar
3,3,Bigas,Eibar
4,23,Arbilla,Eibar
5,14,Inui,Eibar
6,8,Diop,Eibar
7,10,E Expsito,Eibar
8,25,B Gil,Eibar
9,12,Muto,Eibar
10,17,K Garca,Eibar
11,13,Yoel,Eibar
12,20,Rober,Eibar
13,19,Aleix,Eibar
14,21,P Len,Eibar
15,9,Enrich,Eibar
16,13,Bounou,Sevilla
17,16,J Navas,Sevilla
18,12,Koundé,Sevilla
19,3,S Gmez,Sevilla
20,19,Acuña,Sevilla
21,21,O Torres,Sevilla
22,25,Fernando,Sevilla
23,8,J Jordn,Sevilla
24,7,Suso,Sevilla
25,15,En-Nesyri,Sevilla
26,5,Ocampos,Sevilla
27,17,Aleix,Sevilla
28,20,D Carlos,Sevilla
29,4,Rekik,Sevilla
30,10,Rakitić,Sevilla
31,11,Munir,Sevilla
