,player_num,player_name,team
0,1,Dmitrović,Eibar
1,20,Rober,Eibar
2,2,Burgos,Eibar
3,3,Bigas,Eibar
4,23,Arbilla,Eibar
5,14,Inui,Eibar
6,10,E Expsito,Eibar
7,6,Alvarez,Eibar
8,25,B Gil,Eibar
9,12,Muto,Eibar
10,17,K Garca,Eibar
11,9,Enrich,Eibar
12,18,Recio,Eibar
13,22,Pozo,Eibar
14,1,Doménech,Valencia
15,18,Wass,Valencia
16,5,G Paulista,Valencia
17,4,Mangala,Valencia
18,3,T Lato,Valencia
19,30,Musah,Valencia
20,8,Soler,Valencia
21,19,Račić,Valencia
22,7,G edes,Valencia
23,21,M Vallejo,Valencia
24,22,Gómez,Valencia
25,2,T Correia,Valencia
26,9,Gameiro,Valencia
27,23,Jason,Valencia
