,player_num,player_name,team
0,1,Gazzaniga,Elche CF
1,17,Josán,Elche CF
2,19,Barragán,Elche CF
3,5,G Verd,Elche CF
4,12,D Calvo,Elche CF
5,16,F Chaves,Elche CF
6,14,R Guti,Elche CF
7,6,Mfulu,Elche CF
8,20,Piatti,Elche CF
9,10,P Milla,Elche CF
10,9,Boyé,Elche CF
11,24,Josema,Elche CF
12,25,Mojica,Elche CF
13,18,Palacios,Elche CF
14,4,Marcone,Elche CF
15,7,Nino,Elche CF
16,13,Ezkieta,Athletic Club
17,15,Lekue,Athletic Club
18,3,Núñez,Athletic Club
19,5,Yeray,Athletic Club
20,24,Balenziaga,Athletic Club
21,12,A Berenguer,Athletic Club
22,8,U Lpez,Athletic Club
23,6,M Vesga,Athletic Club
24,7,I Gomez,Athletic Club
25,16,O Sancet,Athletic Club
26,20,Villalibre,Athletic Club
27,18,D Marcos,Athletic Club
28,27,U Vencedor,Athletic Club
29,26,I cente,Athletic Club
30,9,I lliams,Athletic Club
