,player_num,player_name,team
0,1,Gazzaniga,Elche CF
1,18,Palacios,Elche CF
2,12,D Calvo,Elche CF
3,2,D Gonzlez,Elche CF
4,24,Josema,Elche CF
5,11,T Morente,Elche CF
6,14,R Guti,Elche CF
7,4,Marcone,Elche CF
8,16,F Chaves,Elche CF
9,10,P Milla,Elche CF
10,9,Boyé,Elche CF
11,8,V drguez,Elche CF
12,19,Barragán,Elche CF
13,17,Josán,Elche CF
14,20,Piatti,Elche CF
15,7,Nino,Elche CF
16,13,Oblak,Atletico Madrid
17,15,Savić,Atletico Madrid
18,2,Gimenez,Atletico Madrid
19,22,Hermoso,Atletico Madrid
20,23,Trippier,Atletico Madrid
21,14,Llorente,Atletico Madrid
22,4,Kondogbia,Atletico Madrid
23,21,Carrasco,Atletico Madrid
24,10,Correa,Atletico Madrid
25,11,Lemar,Atletico Madrid
26,9,Suárez,Atletico Madrid
27,18,Felipe,Atletico Madrid
28,8,Sal guez,Atletico Madrid
29,7,Joo Flix,Atletico Madrid
30,6,Koke,Atletico Madrid
