,player_num,player_name,team
0,13,E Badia,Elche CF
1,17,Josán,Elche CF
2,19,Barragán,Elche CF
3,5,G Verd,Elche CF
4,2,D Gonzlez,Elche CF
5,16,F Chaves,Elche CF
6,11,T Morente,Elche CF
7,6,Mfulu,Elche CF
8,4,Marcone,Elche CF
9,10,P Milla,Elche CF
10,9,Boyé,Elche CF
11,24,Josema,Elche CF
12,3,S Mio,Elche CF
13,22,Rigoni,Elche CF
14,7,Nino,Elche CF
15,14,R Guti,Elche CF
16,13,Ruben,Celta Vigo
17,2,H Mallo,Celta Vigo
18,18,Aidoo,Celta Vigo
19,24,Murillo,Celta Vigo
20,15,Olaza,Celta Vigo
21,14,Tapia,Celta Vigo
22,10,I Aspas,Celta Vigo
23,23,B Mndez,Celta Vigo
24,6,Suárez,Celta Vigo
25,9,Nolito,Celta Vigo
26,22,S Mina,Celta Vigo
27,8,F Beltran,Celta Vigo
28,31,G Veiga,Celta Vigo
29,32,M Rodrguez,Celta Vigo
