,player_num,player_name,team
0,1,Gazzaniga,Elche CF
1,18,Palacios,Elche CF
2,12,D Calvo,Elche CF
3,2,D Gonzlez,Elche CF
4,25,Mojica,Elche CF
5,11,T Morente,Elche CF
6,14,R Guti,Elche CF
7,4,Marcone,Elche CF
8,16,F Chaves,Elche CF
9,9,Boyé,Elche CF
10,20,Piatti,Elche CF
11,24,Josema,Elche CF
12,17,Josán,Elche CF
13,6,Mfulu,Elche CF
14,23,Cifu,Elche CF
15,13,A Fernndez,Levante
16,23,Coke,Levante
17,15,Postigo,Levante
18,14,Rben Vezo,Levante
19,19,Clerc,Levante
20,18,D Frutos,Levante
21,4,Rober,Levante
22,12,Malsa,Levante
23,10,Bardhi,Levante
24,9,Roger,Levante
25,11,Morales,Levante
26,22,Melero,Levante
27,21,D Gmez,Levante
28,6,Duarte,Levante
29,2,Son,Levante
30,7,S Len,Levante
