,player_num,player_name,team
0,13,E Badia,Elche CF
1,18,Palacios,Elche CF
2,5,G Verd,Elche CF
3,12,D Calvo,Elche CF
4,25,Mojica,Elche CF
5,11,T Morente,Elche CF
6,14,R Guti,Elche CF
7,4,Marcone,Elche CF
8,16,F Chaves,Elche CF
9,21,Carrillo,Elche CF
10,10,P Milla,Elche CF
11,8,V drguez,Elche CF
12,22,Rigoni,Elche CF
13,25,Bravo,Real Betis
14,22,E Royal,Real Betis
15,23,Mandi,Real Betis
16,6,V Ruiz,Real Betis
17,15,l reno,Real Betis
18,14,W Carvalho,Real Betis
19,21,Rodríguez,Real Betis
20,24,A Ruibal,Real Betis
21,8,Fekir,Real Betis
22,10,Canales,Real Betis
23,9,B Iglesias,Real Betis
24,16,L Morn,Real Betis
25,7,Juanmi,Real Betis
26,17,Joaquín,Real Betis
