,player_num,player_name,team
0,13,E Badia,Elche CF
1,19,Barragán,Elche CF
2,5,G Verd,Elche CF
3,24,Josema,Elche CF
4,3,S Mio,Elche CF
5,4,Marcone,Elche CF
6,22,Rigoni,Elche CF
7,14,R Guti,Elche CF
8,8,V drguez,Elche CF
9,16,F Chaves,Elche CF
10,9,Boyé,Elche CF
11,11,T Morente,Elche CF
12,17,Josán,Elche CF
13,21,Carrillo,Elche CF
14,1,Courtois,Real Madrid
15,2,Carvajal,Real Madrid
16,5,Varane,Real Madrid
17,4,Ramos,Real Madrid
18,12,Marcelo,Real Madrid
19,10,Modrić,Real Madrid
20,14,Casemiro,Real Madrid
21,8,Kroos,Real Madrid
22,17,L Vzquez,Real Madrid
23,9,Benzema,Real Madrid
24,11,M Asensio,Real Madrid
25,15,Valverde,Real Madrid
26,7,Hazard,Real Madrid
27,20,Vincius Jr,Real Madrid
