,player_num,player_name,team
0,13,E Badia,Elche CF
1,23,Cifu,Elche CF
2,12,D Calvo,Elche CF
3,5,G Verd,Elche CF
4,24,Josema,Elche CF
5,16,F Chaves,Elche CF
6,17,Josán,Elche CF
7,14,R Guti,Elche CF
8,6,Mfulu,Elche CF
9,11,T Morente,Elche CF
10,10,P Milla,Elche CF
11,15,Luismi,Elche CF
12,7,Nino,Elche CF
13,8,V drguez,Elche CF
14,9,Boyé,Elche CF
15,1,Remiro,Real Sociedad
16,18,A Gorosabel,Real Sociedad
17,6,Elustondo,Real Sociedad
18,24,L Normand,Real Sociedad
19,12,A Muoz,Real Sociedad
20,16,A Guevara,Real Sociedad
21,7,Portu,Real Sociedad
22,21,Silva,Real Sociedad
23,8,Merino,Real Sociedad
24,10,Oyarzabal,Real Sociedad
25,19,Isak,Real Sociedad
26,28,R Lpez,Real Sociedad
27,36,Zubimendi,Real Sociedad
28,11,Januzaj,Real Sociedad
29,22,A Barrenetxea,Real Sociedad
30,25,J Bautista,Real Sociedad
