,player_num,player_name,team
0,13,E Badia,Elche CF
1,19,Barragán,Elche CF
2,5,G Verd,Elche CF
3,12,D Calvo,Elche CF
4,24,Josema,Elche CF
5,11,T Morente,Elche CF
6,14,R Guti,Elche CF
7,4,Marcone,Elche CF
8,16,F Chaves,Elche CF
9,9,Boyé,Elche CF
10,21,Carrillo,Elche CF
11,6,Mfulu,Elche CF
12,15,Luismi,Elche CF
13,17,Josán,Elche CF
14,2,D Gonzlez,Elche CF
15,1,Vaclík,Sevilla
16,16,J Navas,Sevilla
17,3,S Gmez,Sevilla
18,4,Rekik,Sevilla
19,18,Escudero,Sevilla
20,24,Gómez,Sevilla
21,6,Gudelj,Sevilla
22,10,Rakitić,Sevilla
23,5,Ocampos,Sevilla
24,9,d Jong,Sevilla
25,11,Munir,Sevilla
26,19,Acuña,Sevilla
27,7,Suso,Sevilla
28,8,J Jordn,Sevilla
29,15,En-Nesyri,Sevilla
30,21,O Torres,Sevilla
