,player_num,player_name,team
0,13,E Badia,Elche CF
1,19,Barragán,Elche CF
2,5,G Verd,Elche CF
3,24,Josema,Elche CF
4,17,Josán,Elche CF
5,4,Marcone,Elche CF
6,14,R Guti,Elche CF
7,16,F Chaves,Elche CF
8,20,Lucumí,Elche CF
9,22,Rigoni,Elche CF
10,10,P Milla,Elche CF
11,12,D Calvo,Elche CF
12,6,Mfulu,Elche CF
13,11,T Morente,Elche CF
14,18,Koné,Elche CF
15,1,Doménech,Valencia
16,2,T Correia,Valencia
17,5,G Paulista,Valencia
18,12,Diakhaby,Valencia
19,3,T Lato,Valencia
20,30,Musah,Valencia
21,8,Soler,Valencia
22,18,Wass,Valencia
23,14,Gayá,Valencia
24,7,G edes,Valencia
25,9,Gameiro,Valencia
26,15,Guillamón,Valencia
27,23,Jason,Valencia
28,19,Račić,Valencia
29,20,Lee KI,Valencia
30,21,M Vallejo,Valencia
