,player_num,player_name,team
0,13,E Badia,Elche CF
1,23,Cifu,Elche CF
2,2,D Gonzlez,Elche CF
3,24,Josema,Elche CF
4,25,Mojica,Elche CF
5,17,Josán,Elche CF
6,14,R Guti,Elche CF
7,4,Marcone,Elche CF
8,22,Rigoni,Elche CF
9,21,Carrillo,Elche CF
10,9,Boyé,Elche CF
11,10,P Milla,Elche CF
12,1,Asenjo,Villarreal
13,21,J Costa,Villarreal
14,3,Albiol,Villarreal
15,4,P Torres,Villarreal
16,24,Pedraza,Villarreal
17,14,Trigueros,Villarreal
18,19,Coquelin,Villarreal
19,5,Parejo,Villarreal
20,7,G Moreno,Villarreal
21,17,Alcácer,Villarreal
22,23,M Gmez,Villarreal
23,15,Estupiñán,Villarreal
24,9,Bacca,Villarreal
25,8,Foyth,Villarreal
26,30,Pino,Villarreal
