,player_num,player_name,team
0,13,D Soria,Getafe
1,29,J Iglesias,Getafe
2,2,Djene,Getafe
3,21,Chakla,Getafe
4,17,Olivera,Getafe
5,20,Maksimović,Getafe
6,18,Arambarri,Getafe
7,5,Kubo,Getafe
8,11,Aleñá,Getafe
9,15,Cucurella,Getafe
10,10,Ünal,Getafe
11,24,Timor,Getafe
12,9,Angel,Getafe
13,19,Poveda,Getafe
14,8,Portillo,Getafe
15,13,E Badia,Elche CF
16,18,Palacios,Elche CF
17,5,G Verd,Elche CF
18,12,D Calvo,Elche CF
19,25,Mojica,Elche CF
20,14,R Guti,Elche CF
21,4,Marcone,Elche CF
22,11,T Morente,Elche CF
23,10,P Milla,Elche CF
24,16,F Chaves,Elche CF
25,9,Boyé,Elche CF
26,21,Carrillo,Elche CF
27,20,Piatti,Elche CF
