,player_num,player_name,team
0,13,D Soria,Getafe
1,22,Suárez,Getafe
2,21,Chakla,Getafe
3,3,Cabaco,Getafe
4,17,Olivera,Getafe
5,12,Nyom,Getafe
6,20,Maksimović,Getafe
7,18,Arambarri,Getafe
8,15,Cucurella,Getafe
9,7,J Mata,Getafe
10,23,Hernández,Getafe
11,10,Ünal,Getafe
12,5,Kubo,Getafe
13,11,Aleñá,Getafe
14,8,Portillo,Getafe
15,9,Angel,Getafe
16,1,Remiro,Real Sociedad
17,2,Zaldùa,Real Sociedad
18,6,Elustondo,Real Sociedad
19,5,I Zubelda,Real Sociedad
20,20,Monreal,Real Sociedad
21,4,Illarra,Real Sociedad
22,11,Januzaj,Real Sociedad
23,21,Silva,Real Sociedad
24,8,Merino,Real Sociedad
25,10,Oyarzabal,Real Sociedad
26,19,Isak,Real Sociedad
27,16,A Guevara,Real Sociedad
28,24,L Normand,Real Sociedad
29,22,A Barrenetxea,Real Sociedad
30,7,Portu,Real Sociedad
31,9,C Fernndez,Real Sociedad
