,player_num,player_name,team
0,1,R Silva,Granada CF
1,2,Foulquier,Granada CF
2,22,D Duarte,Granada CF
3,6,G chez,Granada CF
4,20,Vallejo,Granada CF
5,15,Neva,Granada CF
6,11,Machís,Granada CF
7,8,Eteki,Granada CF
8,19,Montoro,Granada CF
9,24,Kenedy,Granada CF
10,23,J Molina,Granada CF
11,12,Quina,Granada CF
12,4,Gonalons,Granada CF
13,21,Herrera,Granada CF
14,10,A Puertas,Granada CF
15,26,Soro,Granada CF
16,13,Oblak,Atletico Madrid
17,15,Savić,Atletico Madrid
18,18,Felipe,Atletico Madrid
19,22,Hermoso,Atletico Madrid
20,4,Kondogbia,Atletico Madrid
21,14,Llorente,Atletico Madrid
22,8,Sal guez,Atletico Madrid
23,6,Koke,Atletico Madrid
24,21,Carrasco,Atletico Madrid
25,10,Correa,Atletico Madrid
26,9,Suárez,Atletico Madrid
27,24,Vrsaljko,Atletico Madrid
