,player_num,player_name,team
0,13,A candell,Granada CF
1,2,Foulquier,Granada CF
2,28,P Snchez,Granada CF
3,6,G chez,Granada CF
4,20,Vallejo,Granada CF
5,10,A Puertas,Granada CF
6,26,Soro,Granada CF
7,8,Eteki,Granada CF
8,14,F Vico,Granada CF
9,7,Suárez,Granada CF
10,23,J Molina,Granada CF
11,11,Machís,Granada CF
12,36,J Brunet,Granada CF
13,18,Adrin Marn,Granada CF
14,16,Vctor Daz,Granada CF
15,9,Soldado,Granada CF
16,1,Yáñez,Getafe
17,22,Suárez,Getafe
18,2,Djene,Getafe
19,6,Chema,Getafe
20,12,Nyom,Getafe
21,29,J Iglesias,Getafe
22,20,Maksimović,Getafe
23,11,Aleñá,Getafe
24,15,Cucurella,Getafe
25,5,Kubo,Getafe
26,10,Ünal,Getafe
27,3,Cabaco,Getafe
28,23,Hernández,Getafe
29,35,Abdulai,Getafe
30,32,J Miranda,Getafe
31,7,J Mata,Getafe
