,player_num,player_name,team
0,1,R Silva,Granada CF
1,20,Vallejo,Granada CF
2,6,G chez,Granada CF
3,22,D Duarte,Granada CF
4,15,Neva,Granada CF
5,5,L Milla,Granada CF
6,4,Gonalons,Granada CF
7,10,A Puertas,Granada CF
8,19,Montoro,Granada CF
9,11,Machís,Granada CF
10,23,J Molina,Granada CF
11,21,Herrera,Granada CF
12,8,Eteki,Granada CF
13,7,Suárez,Granada CF
14,26,Soro,Granada CF
15,13,A Fernndez,Levante
16,20,Miramón,Levante
17,15,Postigo,Levante
18,14,Rben Vezo,Levante
19,19,Clerc,Levante
20,16,Rochina,Levante
21,12,Malsa,Levante
22,22,Melero,Levante
23,10,Bardhi,Levante
24,9,Roger,Levante
25,11,Morales,Levante
26,2,Son,Levante
27,5,Radoja,Levante
28,18,D Frutos,Levante
29,7,S Len,Levante
