,player_num,player_name,team
0,1,R Silva,Granada CF
1,2,Foulquier,Granada CF
2,22,D Duarte,Granada CF
3,6,G chez,Granada CF
4,17,Quini,Granada CF
5,21,Herrera,Granada CF
6,8,Eteki,Granada CF
7,14,F Vico,Granada CF
8,12,Quina,Granada CF
9,24,Kenedy,Granada CF
10,9,Soldado,Granada CF
11,16,Vctor Daz,Granada CF
12,4,Gonalons,Granada CF
13,19,Montoro,Granada CF
14,23,J Molina,Granada CF
15,10,A Puertas,Granada CF
16,1,Remiro,Real Sociedad
17,18,A Gorosabel,Real Sociedad
18,5,I Zubelda,Real Sociedad
19,24,L Normand,Real Sociedad
20,12,A Muoz,Real Sociedad
21,21,Silva,Real Sociedad
22,4,Illarra,Real Sociedad
23,8,Merino,Real Sociedad
24,11,Januzaj,Real Sociedad
25,19,Isak,Real Sociedad
26,10,Oyarzabal,Real Sociedad
27,22,A Barrenetxea,Real Sociedad
28,16,A Guevara,Real Sociedad
29,14,Guridi,Real Sociedad
30,25,J Bautista,Real Sociedad
31,7,Portu,Real Sociedad
