,player_num,player_name,team
0,1,R Silva,Granada CF
1,2,Foulquier,Granada CF
2,6,G chez,Granada CF
3,22,D Duarte,Granada CF
4,15,Neva,Granada CF
5,4,Gonalons,Granada CF
6,24,Kenedy,Granada CF
7,5,L Milla,Granada CF
8,19,Montoro,Granada CF
9,10,A Puertas,Granada CF
10,9,Soldado,Granada CF
11,20,Vallejo,Granada CF
12,21,Herrera,Granada CF
13,14,F Vico,Granada CF
14,11,Machís,Granada CF
15,7,Suárez,Granada CF
16,13,Bounou,Sevilla
17,16,J Navas,Sevilla
18,3,S Gmez,Sevilla
19,20,D Carlos,Sevilla
20,18,Escudero,Sevilla
21,8,J Jordn,Sevilla
22,25,Fernando,Sevilla
23,10,Rakitić,Sevilla
24,7,Suso,Sevilla
25,24,C Fernndez,Sevilla
26,11,Munir,Sevilla
27,22,Vázquez,Sevilla
28,19,Acuña,Sevilla
29,9,d Jong,Sevilla
30,15,En-Nesyri,Sevilla
31,5,Ocampos,Sevilla
