,player_num,player_name,team
0,1,R Silva,Granada CF
1,2,Foulquier,Granada CF
2,22,D Duarte,Granada CF
3,6,G chez,Granada CF
4,15,Neva,Granada CF
5,21,Herrera,Granada CF
6,4,Gonalons,Granada CF
7,10,A Puertas,Granada CF
8,7,Suárez,Granada CF
9,24,Kenedy,Granada CF
10,9,Soldado,Granada CF
11,17,Quini,Granada CF
12,20,Vallejo,Granada CF
13,26,Soro,Granada CF
14,23,J Molina,Granada CF
15,1,Doménech,Valencia
16,18,Wass,Valencia
17,12,Diakhaby,Valencia
18,4,Mangala,Valencia
19,14,Gayá,Valencia
20,23,Jason,Valencia
21,8,Soler,Valencia
22,26,Esquerdo,Valencia
23,17,Cheryshev,Valencia
24,9,Gameiro,Valencia
25,7,G edes,Valencia
26,27,Koindredi,Valencia
27,30,Musah,Valencia
28,21,M Vallejo,Valencia
